Algorithm,N,TimeTaken
Selection Sort,6249,136563
Selection Sort,9913,322966
Selection Sort,4506,64035
Selection Sort,2789,25989
Selection Sort,7203,161965
Selection Sort,1147,4000
Selection Sort,5427,93003
Selection Sort,8677,259000
Selection Sort,1319,6001
Selection Sort,9393,400998
Inbuilt Sort,6249,1997
Inbuilt Sort,9913,3003
Inbuilt Sort,4506,2001
Inbuilt Sort,2789,1000
Inbuilt Sort,7203,3997
Inbuilt Sort,1147,0
Inbuilt Sort,5427,3000
Inbuilt Sort,8677,3002
Inbuilt Sort,1319,1001
Inbuilt Sort,9393,4004
Merge Sort,6249,2996
Merge Sort,9913,3994
Merge Sort,4506,998
Merge Sort,2789,1000
Merge Sort,7203,1996
Merge Sort,1147,0
Merge Sort,5427,3008
Merge Sort,8677,2995
Merge Sort,1319,997
Merge Sort,9393,3005
Insertion Sort,6249,120996
Insertion Sort,9913,263997
Insertion Sort,4506,59042
Insertion Sort,2789,21001
Insertion Sort,7203,135000
Insertion Sort,1147,2998
Insertion Sort,5427,73962
Insertion Sort,8677,179001
Insertion Sort,1319,4037
Insertion Sort,9393,198002
Quick Sort,6249,1998
Quick Sort,9913,2000
Quick Sort,4506,1000
Quick Sort,2789,0
Quick Sort,7203,3000
Quick Sort,1147,0
Quick Sort,5427,1003
Quick Sort,8677,2997
Quick Sort,1319,0
Quick Sort,9393,3003
