Algorithm,N,TimeTaken
Selection Sort,21,0
Selection Sort,490,1033
Selection Sort,332,0
Selection Sort,346,1000
Selection Sort,66,0
Selection Sort,493,1005
Selection Sort,491,995
Selection Sort,401,1001
Selection Sort,464,0
Selection Sort,458,999
Selection Sort,884,3964
Selection Sort,984,3001
Selection Sort,294,997
Selection Sort,394,0
Selection Sort,407,1003
Selection Sort,812,3041
Selection Sort,135,0
Selection Sort,839,2996
Selection Sort,156,0
Selection Sort,9,0
Selection Sort,331,963
Selection Sort,428,0
Selection Sort,52,0
Selection Sort,246,0
Selection Sort,896,3005
Selection Sort,836,2974
Selection Sort,713,2028
Selection Sort,512,998
Selection Sort,169,0
Selection Sort,780,3961
Selection Sort,567,999
Selection Sort,385,1002
Selection Sort,528,1043
Selection Sort,630,954
Selection Sort,263,1038
Selection Sort,627,1003
Selection Sort,786,2963
Selection Sort,694,2037
Selection Sort,547,999
Selection Sort,893,4017
Selection Sort,377,0
Selection Sort,101,0
Selection Sort,750,2945
Selection Sort,739,2036
Selection Sort,492,1004
Selection Sort,992,3964
Selection Sort,978,4033
Selection Sort,172,0
Selection Sort,488,963
Selection Sort,869,3006
Selection Sort,561,2030
Selection Sort,540,1001
Selection Sort,939,3963
Selection Sort,912,3041
Selection Sort,775,2959
Selection Sort,689,2002
Selection Sort,260,0
Selection Sort,576,1998
Selection Sort,909,3038
Selection Sort,455,963
Selection Sort,722,2998
Selection Sort,759,2039
Selection Sort,32,0
Selection Sort,145,0
Selection Sort,314,1004
Selection Sort,782,1995
Selection Sort,480,1000
Selection Sort,930,3999
Selection Sort,557,1000
Selection Sort,372,0
Selection Sort,954,4002
Selection Sort,87,0
Selection Sort,241,961
Selection Sort,141,0
Selection Sort,838,3001
Selection Sort,240,0
Selection Sort,75,0
Selection Sort,861,3036
Selection Sort,531,1002
Selection Sort,266,0
Selection Sort,456,1000
Selection Sort,970,4003
Selection Sort,503,996
Selection Sort,166,0
Selection Sort,156,0
Selection Sort,534,1002
Selection Sort,154,0
Selection Sort,813,2998
Selection Sort,18,0
Selection Sort,53,0
Selection Sort,970,4001
Selection Sort,910,3001
Selection Sort,821,2999
Selection Sort,470,1003
Selection Sort,523,996
Selection Sort,826,3003
Selection Sort,193,0
Selection Sort,901,3997
Selection Sort,950,3002
Selection Sort,657,1998
Inbuilt Sort,21,0
Inbuilt Sort,490,0
Inbuilt Sort,332,0
Inbuilt Sort,346,0
Inbuilt Sort,66,0
Inbuilt Sort,493,0
Inbuilt Sort,491,1025
Inbuilt Sort,401,0
Inbuilt Sort,464,0
Inbuilt Sort,458,0
Inbuilt Sort,884,0
Inbuilt Sort,984,0
Inbuilt Sort,294,0
Inbuilt Sort,394,0
Inbuilt Sort,407,0
Inbuilt Sort,812,0
Inbuilt Sort,135,0
Inbuilt Sort,839,996
Inbuilt Sort,156,0
Inbuilt Sort,9,0
Inbuilt Sort,331,0
Inbuilt Sort,428,0
Inbuilt Sort,52,0
Inbuilt Sort,246,0
Inbuilt Sort,896,0
Inbuilt Sort,836,0
Inbuilt Sort,713,0
Inbuilt Sort,512,0
Inbuilt Sort,169,0
Inbuilt Sort,780,0
Inbuilt Sort,567,1000
Inbuilt Sort,385,0
Inbuilt Sort,528,0
Inbuilt Sort,630,0
Inbuilt Sort,263,0
Inbuilt Sort,627,0
Inbuilt Sort,786,0
Inbuilt Sort,694,0
Inbuilt Sort,547,0
Inbuilt Sort,893,0
Inbuilt Sort,377,0
Inbuilt Sort,101,0
Inbuilt Sort,750,1000
Inbuilt Sort,739,0
Inbuilt Sort,492,0
Inbuilt Sort,992,0
Inbuilt Sort,978,0
Inbuilt Sort,172,0
Inbuilt Sort,488,0
Inbuilt Sort,869,0
Inbuilt Sort,561,0
Inbuilt Sort,540,1011
Inbuilt Sort,939,0
Inbuilt Sort,912,0
Inbuilt Sort,775,0
Inbuilt Sort,689,0
Inbuilt Sort,260,0
Inbuilt Sort,576,0
Inbuilt Sort,909,0
Inbuilt Sort,455,0
Inbuilt Sort,722,1002
Inbuilt Sort,759,0
Inbuilt Sort,32,0
Inbuilt Sort,145,0
Inbuilt Sort,314,0
Inbuilt Sort,782,0
Inbuilt Sort,480,0
Inbuilt Sort,930,0
Inbuilt Sort,557,0
Inbuilt Sort,372,0
Inbuilt Sort,954,963
Inbuilt Sort,87,0
Inbuilt Sort,241,0
Inbuilt Sort,141,0
Inbuilt Sort,838,0
Inbuilt Sort,240,0
Inbuilt Sort,75,0
Inbuilt Sort,861,0
Inbuilt Sort,531,0
Inbuilt Sort,266,0
Inbuilt Sort,456,0
Inbuilt Sort,970,0
Inbuilt Sort,503,0
Inbuilt Sort,166,0
Inbuilt Sort,156,0
Inbuilt Sort,534,1032
Inbuilt Sort,154,0
Inbuilt Sort,813,0
Inbuilt Sort,18,0
Inbuilt Sort,53,0
Inbuilt Sort,970,0
Inbuilt Sort,910,0
Inbuilt Sort,821,0
Inbuilt Sort,470,0
Inbuilt Sort,523,0
Inbuilt Sort,826,1002
