Algorithm,N,TimeTaken
Selection Sort,49,0
Selection Sort,46,0
Selection Sort,52,0
Selection Sort,81,0
Selection Sort,100,0
Selection Sort,51,0
Selection Sort,16,0
Selection Sort,66,0
Selection Sort,25,0
Selection Sort,41,0
Selection Sort,6,0
Selection Sort,44,0
Selection Sort,83,0
Selection Sort,98,0
Selection Sort,29,0
Selection Sort,37,0
Selection Sort,93,0
Selection Sort,65,0
Selection Sort,26,0
Selection Sort,21,0
Selection Sort,73,0
Selection Sort,8,0
Selection Sort,82,0
Selection Sort,63,0
Selection Sort,96,0
Selection Sort,58,0
Selection Sort,10,0
Selection Sort,8,0
Selection Sort,31,0
Selection Sort,11,0
Selection Sort,63,0
Selection Sort,93,0
Selection Sort,68,0
Selection Sort,20,0
Selection Sort,27,0
Selection Sort,55,0
Selection Sort,63,0
Selection Sort,69,0
Selection Sort,34,0
Selection Sort,45,0
Selection Sort,24,998
Selection Sort,86,0
Selection Sort,42,0
Selection Sort,65,0
Selection Sort,66,0
Selection Sort,29,0
Selection Sort,70,0
Selection Sort,39,0
Selection Sort,40,0
Selection Sort,45,0
Selection Sort,19,0
Selection Sort,96,0
Selection Sort,41,0
Selection Sort,21,0
Selection Sort,34,0
Selection Sort,74,0
Selection Sort,1,0
Selection Sort,76,0
Selection Sort,34,0
Selection Sort,60,0
Selection Sort,51,0
Selection Sort,14,0
Selection Sort,22,0
Selection Sort,62,0
Selection Sort,18,0
Selection Sort,19,0
Selection Sort,84,0
Selection Sort,89,0
Selection Sort,52,0
Selection Sort,7,0
Selection Sort,69,0
Selection Sort,61,0
Selection Sort,71,0
Selection Sort,12,0
Selection Sort,27,0
Selection Sort,11,0
Selection Sort,62,0
Selection Sort,83,0
Selection Sort,59,0
Selection Sort,30,0
Selection Sort,87,0
Selection Sort,39,0
Selection Sort,96,0
Selection Sort,27,0
Selection Sort,51,0
Selection Sort,97,0
Selection Sort,69,0
Selection Sort,24,0
Selection Sort,21,0
Selection Sort,29,0
Selection Sort,79,0
Selection Sort,23,0
Selection Sort,93,0
Selection Sort,57,0
Selection Sort,46,0
Selection Sort,69,0
Selection Sort,35,0
Selection Sort,50,0
Selection Sort,96,0
Selection Sort,64,0
Inbuilt Sort,49,0
Inbuilt Sort,46,0
Inbuilt Sort,52,0
Inbuilt Sort,81,0
Inbuilt Sort,100,0
Inbuilt Sort,51,0
Inbuilt Sort,16,0
Inbuilt Sort,66,0
Inbuilt Sort,25,0
Inbuilt Sort,41,0
Inbuilt Sort,6,0
Inbuilt Sort,44,0
Inbuilt Sort,83,0
Inbuilt Sort,98,0
Inbuilt Sort,29,0
Inbuilt Sort,37,0
Inbuilt Sort,93,0
Inbuilt Sort,65,0
Inbuilt Sort,26,0
Inbuilt Sort,21,0
Inbuilt Sort,73,0
Inbuilt Sort,8,0
Inbuilt Sort,82,0
Inbuilt Sort,63,0
Inbuilt Sort,96,0
Inbuilt Sort,58,0
Inbuilt Sort,10,0
Inbuilt Sort,8,0
Inbuilt Sort,31,0
Inbuilt Sort,11,0
Inbuilt Sort,63,0
Inbuilt Sort,93,0
Inbuilt Sort,68,0
Inbuilt Sort,20,0
Inbuilt Sort,27,0
Inbuilt Sort,55,0
Inbuilt Sort,63,0
Inbuilt Sort,69,0
Inbuilt Sort,34,0
Inbuilt Sort,45,0
Inbuilt Sort,24,0
Inbuilt Sort,86,0
Inbuilt Sort,42,0
Inbuilt Sort,65,0
Inbuilt Sort,66,0
Inbuilt Sort,29,0
Inbuilt Sort,70,0
Inbuilt Sort,39,0
Inbuilt Sort,40,0
Inbuilt Sort,45,0
Inbuilt Sort,19,0
Inbuilt Sort,96,0
Inbuilt Sort,41,0
Inbuilt Sort,21,0
Inbuilt Sort,34,0
Inbuilt Sort,74,0
Inbuilt Sort,1,0
Inbuilt Sort,76,0
Inbuilt Sort,34,0
Inbuilt Sort,60,0
Inbuilt Sort,51,0
Inbuilt Sort,14,0
Inbuilt Sort,22,0
Inbuilt Sort,62,0
Inbuilt Sort,18,0
Inbuilt Sort,19,0
Inbuilt Sort,84,0
Inbuilt Sort,89,0
Inbuilt Sort,52,0
Inbuilt Sort,7,0
Inbuilt Sort,69,0
Inbuilt Sort,61,0
Inbuilt Sort,71,0
Inbuilt Sort,12,0
Inbuilt Sort,27,0
Inbuilt Sort,11,0
Inbuilt Sort,62,0
Inbuilt Sort,83,0
Inbuilt Sort,59,0
Inbuilt Sort,30,0
Inbuilt Sort,87,1000
Inbuilt Sort,39,0
Inbuilt Sort,96,0
Inbuilt Sort,27,0
Inbuilt Sort,51,0
